연도,연령대,행정동,인구수
2019,16-20세,수내1동,1322
2019,16-20세,수내2동,881
2019,16-20세,수내3동,1150
2019,16-20세,정자1동,2010
2019,16-20세,정자2동,1026
2019,16-20세,정자3동,1113
2019,16-20세,정자동,1235
2019,21-25세,구미1동,1364
2019,21-25세,구미동,2275
2019,21-25세,금곡동,1994
2019,21-25세,분당동,1924
2019,21-25세,수내1동,1160
2019,21-25세,수내2동,576
2019,21-25세,수내3동,960
2019,21-25세,정자1동,2169
2019,21-25세,정자2동,950
2019,21-25세,정자3동,1081
2019,21-25세,정자동,1442
2019,26-30세,구미1동,1550
2019,26-30세,구미동,2447
2019,26-30세,금곡동,2429
2019,26-30세,분당동,2107
2019,26-30세,수내1동,1206
2019,26-30세,수내2동,382
2019,26-30세,수내3동,932
2019,26-30세,정자1동,2766
2019,26-30세,정자2동,1370
2019,26-30세,정자3동,1088
2019,26-30세,정자동,1929
2019,31-35세,구미1동,1378
2019,31-35세,구미동,2316
2019,31-35세,금곡동,2403
2019,31-35세,분당동,1846
2019,31-35세,수내1동,1253
2019,31-35세,수내2동,335
2019,31-35세,수내3동,751
2019,31-35세,정자1동,2524
2019,31-35세,정자2동,1749
2019,31-35세,정자3동,1173
2019,31-35세,정자동,1945
2019,36-40세,구미1동,1471
2019,36-40세,구미동,2567
2019,36-40세,금곡동,2418
2019,36-40세,분당동,2047
2019,36-40세,수내1동,1489
2019,36-40세,수내2동,772
2019,36-40세,수내3동,1006
2019,36-40세,정자1동,2792
2019,36-40세,정자2동,1397
2019,36-40세,정자3동,1327
2019,36-40세,정자동,1794
2019,41-45세,구미1동,1475
2019,41-45세,구미동,2505
2019,41-45세,금곡동,2166
2019,41-45세,분당동,2326
2019,41-45세,수내1동,1739
2019,41-45세,수내2동,1332
2019,41-45세,수내3동,1679
2019,41-45세,정자1동,2799
2019,41-45세,정자2동,1351
2019,41-45세,정자3동,1402
2019,41-45세,정자동,1621
2019,46-50세,구미1동,1823
2019,46-50세,구미동,3149
2019,46-50세,금곡동,2671
2019,46-50세,분당동,2918
2019,46-50세,수내1동,2182
2019,46-50세,수내2동,1423
2019,46-50세,수내3동,1844
2019,46-50세,정자1동,3275
2019,46-50세,정자2동,1525
2019,46-50세,정자3동,1652
2019,46-50세,정자동,1901
2019,51-55세,구미1동,1504
2019,51-55세,구미동,2523
2019,51-55세,금곡동,2300
2019,51-55세,분당동,2053
2019,51-55세,수내1동,1416
2019,51-55세,수내2동,751
2019,51-55세,수내3동,1036
2019,51-55세,정자1동,2362
2019,51-55세,정자2동,1244
2019,51-55세,정자3동,1249
2019,51-55세,정자동,1366
2019,56-60세,구미1동,1329
2019,56-60세,구미동,2588
2019,56-60세,금곡동,2259
2019,56-60세,분당동,1991
2019,56-60세,수내1동,998
2019,56-60세,수내2동,515
2019,56-60세,수내3동,848
2019,56-60세,정자1동,1861
2019,56-60세,정자2동,1174
2019,56-60세,정자3동,1073
2019,56-60세,정자동,1418
2019,61-65세,구미1동,941
2019,61-65세,구미동,1770
2019,61-65세,금곡동,1847
2019,61-65세,분당동,1508
2019,61-65세,수내1동,771
2019,61-65세,수내2동,414
2019,61-65세,수내3동,563
2019,61-65세,정자1동,1281
2019,61-65세,정자2동,877
2019,61-65세,정자3동,731
2019,61-65세,정자동,1064
2019,66-70세,구미1동,553
2019,66-70세,구미동,1258
2019,66-70세,금곡동,1160
2019,66-70세,분당동,916
2019,66-70세,수내1동,520
2019,66-70세,수내2동,298
2019,66-70세,수내3동,350
2019,66-70세,정자1동,947
2019,66-70세,정자2동,585
2019,66-70세,정자3동,449
2019,66-70세,정자동,720
2019,71-75세,구미1동,496
2019,71-75세,구미동,1069
2019,71-75세,금곡동,1006
2019,71-75세,분당동,693
2019,71-75세,수내1동,486
2019,71-75세,수내2동,235
2019,71-75세,수내3동,235
2019,71-75세,정자1동,860
2019,71-75세,정자2동,555
2019,71-75세,정자3동,430
2019,71-75세,정자동,505
2019,76-80세,구미1동,395
2019,76-80세,구미동,926
2019,76-80세,금곡동,825
2019,76-80세,분당동,596
